Rank,Model,Aver,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Precision,Nparam,model_link
0,bhenrym14/platypus-yi-34b,70.67,68.43,85.21,78.13,54.48,84.06,59.82,64.55,instruction-tuned,16bit,34.39,https://huggingface.co/bhenrym14/platypus-yi-34b
1,chargoddard/Yi-34B-Llama,70.01,64.59,85.63,76.31,55.6,82.79,60.8,64.37,pretrained,16bit,34.39,https://huggingface.co/chargoddard/Yi-34B-Llama
2,01-ai/Yi-34B,68.68,64.59,85.69,76.35,56.23,83.03,50.64,64.2,pretrained,16bit,34.0,https://huggingface.co/01-ai/Yi-34B
3,brucethemoose/Capybara-Tess-Yi-34B-200K,67.44,66.13,86.24,74.89,56.37,82.4,57.39,48.64,,16bit,0.0,https://huggingface.co/brucethemoose/Capybara-Tess-Yi-34B-200K
4,OrionStarAI/OrionStar-Yi-34B-Chat-Llama,67.37,64.93,84.34,73.67,53.35,78.85,53.9,62.54,fine-tuned,16bit,34.39,https://huggingface.co/OrionStarAI/OrionStar-Yi-34B-Chat-Llama
5,MayaPH/GodziLLa2-70B,67.01,71.42,87.53,69.88,61.54,83.19,43.21,52.31,instruction-tuned,16bit,68.98,https://huggingface.co/MayaPH/GodziLLa2-70B
6,sequelbox/StellarBright,66.98,72.95,87.82,71.17,64.46,83.27,39.5,49.66,fine-tuned,16bit,69.24,https://huggingface.co/sequelbox/StellarBright
7,garage-bAInd/Platypus2-70B-instruct,66.89,71.84,87.94,70.48,62.26,82.72,40.56,52.41,fine-tuned,16bit,68.72,https://huggingface.co/garage-bAInd/Platypus2-70B-instruct
8,upstage/SOLAR-0-70b-16bit,66.88,71.08,87.89,70.58,62.25,83.58,45.26,47.49,instruction-tuned,16bit,68.72,https://huggingface.co/upstage/SOLAR-0-70b-16bit
9,Sao10K/Euryale-1.3-L2-70B,66.58,70.82,87.92,70.39,59.85,82.79,34.19,60.1,fine-tuned,16bit,68.72,https://huggingface.co/Sao10K/Euryale-1.3-L2-70B
10,psmathur/model_101,66.55,68.69,86.42,69.92,58.85,82.08,44.81,55.1,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_101
11,OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,66.47,61.86,83.13,67.41,56.18,80.11,60.27,56.3,fine-tuned,16bit,68.76,https://huggingface.co/OpenBuddy/openbuddy-llama2-70b-v10.1-bf16
12,budecosystem/genz-70b,66.34,71.42,87.99,70.78,62.66,83.5,33.74,54.28,instruction-tuned,16bit,68.72,https://huggingface.co/budecosystem/genz-70b
13,upstage/Llama-2-70b-instruct,66.1,70.9,87.48,69.8,60.97,82.87,32.22,58.42,fine-tuned,16bit,68.72,https://huggingface.co/upstage/Llama-2-70b-instruct
14,ehartford/Samantha-1.11-70b,65.9,70.05,87.55,67.82,65.02,83.27,29.95,57.68,instruction-tuned,16bit,68.72,https://huggingface.co/ehartford/Samantha-1.11-70b
15,ICBU-NPU/FashionGPT-70B-V1.1,65.88,71.76,88.2,70.99,65.26,82.64,41.47,40.81,fine-tuned,16bit,68.72,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.1
16,migtissera/Tess-M-v1.1,65.82,67.15,84.76,74.5,54.8,82.87,54.66,42.02,fine-tuned,16bit,34.39,https://huggingface.co/migtissera/Tess-M-v1.1
17,chargoddard/MelangeB-70b,65.8,71.67,87.5,70.03,59.36,83.5,30.63,57.92,instruction-tuned,16bit,68.98,https://huggingface.co/chargoddard/MelangeB-70b
18,ehartford/Samantha-1.1-70b,65.74,68.77,87.46,68.6,64.85,83.27,31.61,55.59,instruction-tuned,16bit,68.72,https://huggingface.co/ehartford/Samantha-1.1-70b
19,AIDC-ai-business/Marcoroni-70B-v1,65.52,73.55,87.62,70.67,64.41,83.43,33.28,45.65,fine-tuned,16bit,68.72,https://huggingface.co/AIDC-ai-business/Marcoroni-70B-v1
20,fangloveskari/Platypus_QLoRA_LLaMA_70b,65.41,72.1,87.46,71.02,61.18,82.87,30.78,52.45,fine-tuned,16bit,68.72,https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b
21,v2ray/LLaMA-2-Wizard-70B-QLoRA,65.4,67.58,87.52,69.11,61.79,82.32,30.48,59.03,instruction-tuned,16bit,70.0,https://huggingface.co/v2ray/LLaMA-2-Wizard-70B-QLoRA
22,psmathur/model_009,65.03,71.59,87.7,69.43,60.72,82.32,39.42,44.01,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_009
23,jondurbin/airoboros-l2-70b-2.2.1,65.01,69.71,87.95,69.79,59.49,82.95,44.88,40.27,instruction-tuned,16bit,68.72,https://huggingface.co/jondurbin/airoboros-l2-70b-2.2.1
24,stabilityai/StableBeluga2,64.97,71.08,86.37,68.79,59.44,82.95,35.86,50.28,fine-tuned,16bit,68.72,https://huggingface.co/stabilityai/StableBeluga2
25,psmathur/orca_mini_v3_70b,64.9,71.25,87.85,70.18,61.27,82.72,40.86,40.17,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/orca_mini_v3_70b
26,psmathur/model_51,64.88,68.43,86.71,69.31,57.18,81.77,32.37,58.43,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_51
27,v2ray/LLaMA-2-Jannie-70B-QLoRA,64.76,68.94,86.9,69.37,53.67,82.95,31.77,59.75,fine-tuned,16bit,70.0,https://huggingface.co/v2ray/LLaMA-2-Jannie-70B-QLoRA
28,fangloveskari/ORCA_LLaMA_70B_QLoRA,64.67,72.27,87.74,70.23,63.37,83.66,28.35,47.04,fine-tuned,16bit,68.72,https://huggingface.co/fangloveskari/ORCA_LLaMA_70B_QLoRA
29,migtissera/Synthia-70B-v1.2b,64.63,68.77,87.57,68.81,57.69,83.9,35.25,50.41,fine-tuned,16bit,68.72,https://huggingface.co/migtissera/Synthia-70B-v1.2b
30,OpenBuddy/openbuddy-falcon-180b-v13-preview0,64.3,65.1,86.19,64.6,54.97,82.64,41.62,54.98,fine-tuned,8bit,178.64,https://huggingface.co/OpenBuddy/openbuddy-falcon-180b-v13-preview0
31,garage-bAInd/Camel-Platypus2-70B,64.23,71.08,87.6,70.04,58.09,83.82,22.9,56.1,fine-tuned,16bit,68.72,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
32,garage-bAInd/Platypus2-70B,64.16,70.65,87.15,70.08,52.37,84.37,33.06,51.41,fine-tuned,16bit,68.72,https://huggingface.co/garage-bAInd/Platypus2-70B
33,liuxiang886/llama2-70B-qlora-gpt4,64.13,70.31,86.39,69.29,54.02,82.87,28.89,57.15,,16bit,68.72,https://huggingface.co/liuxiang886/llama2-70B-qlora-gpt4
34,garage-bAInd/Camel-Platypus2-70B,64.05,70.14,87.71,69.83,57.77,82.95,23.96,55.97,instruction-tuned,8bit,68.72,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
35,s1ghhh/medllama-2-70b-qlora-1.1,63.58,69.03,87.17,71.04,52.41,84.21,32.07,49.1,fine-tuned,16bit,70.0,https://huggingface.co/s1ghhh/medllama-2-70b-qlora-1.1
