Rank,Model,Aver,Precision,Nparam
0,bhenrym14/platypus-yi-34b,70.67,16bit,30.0
1,chargoddard/Yi-34B-Llama,70.01,16bit,30.0
2,01-ai/Yi-34B,68.68,16bit,30.0
30,OpenBuddy/openbuddy-falcon-180b-v13-preview0,64.3,8bit,178.64
37,fblgit/juanako-7b-UNA,63.36,16bit,7.0
54,monology/openinstruct-mistral-7b,61.22,16bit,7.0
61,OpenBuddy/openbuddy-falcon-180b-v12-preview0,60.54,4bit,178.64
77,tiiuae/falcon-180B,59.1,8bit,179.52
108,ajibawa-2023/SlimOrca-13B,58.15,16bit,13.0
110,microsoft/Orca-2-13b,58.05,16bit,13.0
123,Intel/neural-chat-7b-v3-1,57.5,4bit,7.0
160,NurtureAI/Starling-LM-11B-alpha-v1,56.23,16bit,11.0
182,ValiantLabs/ShiningValiantXS,55.3,16bit,13.0
191,meta-llama/Llama-2-70b-chat-hf,54.98,16bit,70.0
210,Open-Orca/Mistral-7B-OpenOrca,54.51,16bit,7.0
296,mistralai/Mistral-7B-v0.1,53.14,16bit,7.0
307,microsoft/Orca-2-7b,53.02,16bit,7.0
396,Enno-Ai/vigogne2-enno-13b-sft-lora-4bit,51.79,4bit,13.0
1258,Phind/Phind-CodeLlama-34B-v2,37.15,16bit,30.0
1833,wtang06/mpt-125m-c4,17.2,16bit,0.12
