T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
⭕,"<a target=""_blank"" href=""https://huggingface.co/bhenrym14/platypus-yi-34b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">bhenrym14/platypus-yi-34b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_bhenrym14__platypus-yi-34b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",70.67,68.43,85.21,78.13,54.48,84.06,59.82,64.55,instruction-tuned,LlamaForCausalLM,torch.float16,other,34.39,0.0,True,66abec7cba89b35c7b6cab2140c3532049de0157,bhenrym14/platypus-yi-34b
🟢,"<a target=""_blank"" href=""https://huggingface.co/chargoddard/Yi-34B-Llama"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">chargoddard/Yi-34B-Llama</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_chargoddard__Yi-34B-Llama"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",70.01,64.59,85.63,76.31,55.6,82.79,60.8,64.37,pretrained,LlamaForCausalLM,torch.bfloat16,other,34.39,36.0,True,52feecf18e46dd8ed1db297345957007c3e45de1,chargoddard/Yi-34B-Llama
🟢,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-34B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-34B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",68.68,64.59,85.69,76.35,56.23,83.03,50.64,64.2,pretrained,YiForCausalLM,torch.bfloat16,custom,34.0,15.0,True,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,01-ai/Yi-34B
?,"<a target=""_blank"" href=""https://huggingface.co/brucethemoose/Capybara-Tess-Yi-34B-200K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">brucethemoose/Capybara-Tess-Yi-34B-200K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_brucethemoose__Capybara-Tess-Yi-34B-200K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",67.44,66.13,86.24,74.89,56.37,82.4,57.39,48.64,,LlamaForCausalLM,torch.bfloat16,?,0.0,0.0,True,28a4464d357d9a4d91238d20ed30ecd2ee377be5,brucethemoose/Capybara-Tess-Yi-34B-200K
🔶,"<a target=""_blank"" href=""https://huggingface.co/OrionStarAI/OrionStar-Yi-34B-Chat-Llama"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OrionStarAI/OrionStar-Yi-34B-Chat-Llama</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_OrionStarAI__OrionStar-Yi-34B-Chat-Llama"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",67.37,64.93,84.34,73.67,53.35,78.85,53.9,62.54,fine-tuned,LlamaForCausalLM,torch.float16,other,34.39,1.0,True,333c788e0d026cdb76bb827b8dcbc14a859ae2cc,OrionStarAI/OrionStar-Yi-34B-Chat-Llama
⭕,"<a target=""_blank"" href=""https://huggingface.co/MayaPH/GodziLLa2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">MayaPH/GodziLLa2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_MayaPH__GodziLLa2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",67.01,71.42,87.53,69.88,61.54,83.19,43.21,52.31,instruction-tuned,LlamaForCausalLM,torch.float16,llama2,68.98,17.0,True,7b78087db07eec97f7b461d10758ece76d685543,MayaPH/GodziLLa2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/sequelbox/StellarBright"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">sequelbox/StellarBright</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_sequelbox__StellarBright"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.98,72.95,87.82,71.17,64.46,83.27,39.5,49.66,fine-tuned,LlamaForCausalLM,torch.float16,llama2,69.24,8.0,True,43efad8bfdb47139934e810906c1e59c25b5e269,sequelbox/StellarBright
🔶,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Platypus2-70B-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Platypus2-70B-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Platypus2-70B-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.89,71.84,87.94,70.48,62.26,82.72,40.56,52.41,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,68.72,148.0,True,a66378c15f89756215ccc64572ba69b161173703,garage-bAInd/Platypus2-70B-instruct
⭕,"<a target=""_blank"" href=""https://huggingface.co/upstage/SOLAR-0-70b-16bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/SOLAR-0-70b-16bit</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__SOLAR-0-70b-16bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.88,71.08,87.89,70.58,62.25,83.58,45.26,47.49,instruction-tuned,LlamaForCausalLM,torch.float16,?,68.72,214.0,True,5f9c77b2c0397cf83d2f97740483f107c7109e8c,upstage/SOLAR-0-70b-16bit
🔶,"<a target=""_blank"" href=""https://huggingface.co/Sao10K/Euryale-1.3-L2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Sao10K/Euryale-1.3-L2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Sao10K__Euryale-1.3-L2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",66.58,70.82,87.92,70.39,59.85,82.79,34.19,60.1,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,4.0,True,6e3ce78eb5346bf3a5ee88cd60c25dc0d73de639,Sao10K/Euryale-1.3-L2-70B
